t	i_ind	j_ind	S1	S2
0.8	0	2	466.5	409
0.8	0	3	29.5	891
0.8	0	4	428.5	669
0.8	1	0	440	165
0.8	1	1	613.5	325
0.8	1	2	522	481
0.8	1	3	430.5	699
0.8	1	4	428.5	706.5
0.8	2	0	386	320.5
0.8	2	1	219	197.5
0.8	2	2	98.5	923
0.8	2	3	174.5	352
0.8	2	4	464.5	313
0.8	3	0	129.5	880.5
0.8	3	1	6.5	350
0.8	3	2	315	641
0.8	3	3	558.5	221
0.8	3	4	204.5	818
0.8	4	0	580	649.5
0.8	4	1	364.5	361
0.8	4	2	612.5	776.5
0.8	4	3	301	168
0.8	4	4	257	377.5
0.9	0	0	279.5	331.5
0.9	0	1	90.5	709
0.9	0	2	466.5	409
0.9	0	3	29.5	891
0.9	0	4	428.5	669
0.9	1	0	440	165
0.9	1	1	613.5	325
0.9	1	2	522	481
0.9	1	3	430.5	699
0.9	1	4	428.5	706.5
0.9	2	0	386	320.5
0.9	2	1	219	197.5
0.9	2	2	98.5	923
0.9	2	3	174.5	352
0.9	2	4	464.5	313
0.9	3	0	129.5	880.5
0.9	3	1	6.5	350
0.9	3	2	315	641
0.9	3	3	558.5	221
0.9	3	4	204.5	818
0.9	4	0	580	649.5
0.9	4	1	364.5	361
0.9	4	2	612.5	776.5
0.9	4	3	301	168
0.9	4	4	257	377.5
1	0	0	279.5	331.5
1	0	1	90.5	709
1	0	2	466.5	409
1	0	3	29.5	891
1	0	4	428.5	669
1	1	0	440	165
1	1	1	613.5	325
1	1	2	522	481
1	1	3	430.5	699
1	1	4	428.5	706.5
1	2	0	386	320.5
1	2	1	219	197.5
1	2	2	98.5	923
1	2	3	174.5	352
1	2	4	464.5	313
1	3	0	129.5	880.5
1	3	1	6.5	350
1	3	2	315	641
1	3	3	558.5	221
1	3	4	204.5	818
1	4	0	580	649.5
1	4	1	364.5	361
1	4	2	612.5	776.5
1	4	3	301	168
1	4	4	257	377.5
1.1	0	0	229.5	358.054
1.1	0	1	50.5	742.801
1.1	0	2	426.5	443.556
1.1	0	3	9.5	907.746
1.1	0	4	398.5	691.76
1.1	1	0	420	189.651
1.1	1	1	533.5	371.376
1.1	1	2	472	518.199
1.1	1	3	370.5	730.814
1.1	1	4	398.5	711.21
1.1	2	0	316	350.288
1.1	2	1	209	202.035
1.1	2	2	88.5	927.943
1.1	2	3	134.5	364.336
1.1	2	4	404.5	348.125
1.1	3	0	109.5	889.94
1.1	3	1	6.5	400.795
1.1	3	2	245	688.2
1.1	3	3	528.5	238.276
1.1	3	4	174.5	832.461
1.1	4	0	540	665.402
1.1	4	1	324.5	391.637
1.1	4	2	552.5	808.606
1.1	4	3	281	181.424
1.1	4	4	227	404.505
1.2	0	0	229.5	358.054
1.2	0	1	50.5	742.801
1.2	0	2	426.5	443.556
1.2	0	3	9.5	907.746
1.2	0	4	398.5	691.76
1.2	1	0	420	189.651
1.2	1	1	533.5	371.376
1.2	1	2	472	518.199
1.2	1	3	370.5	730.814
1.2	1	4	398.5	711.21
1.2	2	0	316	350.288
1.2	2	1	209	202.035
1.2	2	2	88.5	927.943
1.2	2	3	134.5	364.336
1.2	2	4	404.5	348.125
1.2	3	0	109.5	889.94
1.2	3	1	6.5	400.795
1.2	3	2	245	688.2
1.2	3	3	528.5	238.276
1.2	3	4	174.5	832.461
1.2	4	0	540	665.402
1.2	4	1	324.5	391.637
1.2	4	2	552.5	808.606
1.2	4	3	281	181.424
1.2	4	4	227	404.505
1.3	0	0	229.5	358.054
1.3	0	1	50.5	742.801
1.3	0	2	426.5	443.556
1.3	0	3	9.5	907.746
1.3	0	4	398.5	691.76
1.3	1	0	420	189.651
1.3	1	1	533.5	371.376
1.3	1	2	472	518.199
1.3	1	3	370.5	730.814
1.3	1	4	398.5	711.21
1.3	2	0	316	350.288
1.3	2	1	209	202.035
1.3	2	2	88.5	927.943
1.3	2	3	134.5	364.336
1.3	2	4	404.5	348.125
1.3	3	0	109.5	889.94
1.3	3	1	6.5	400.795
1.3	3	2	245	688.2
1.3	3	3	528.5	238.276
1.3	3	4	174.5	832.461
1.3	4	0	540	665.402
1.3	4	1	324.5	391.637
1.3	4	2	552.5	808.606
1.3	4	3	281	181.424
1.3	4	4	227	404.505
1.4	0	0	229.5	358.054
1.4	0	1	50.5	742.801
1.4	0	2	426.5	443.556
1.4	0	3	9.5	907.746
1.4	0	4	398.5	691.76
1.4	1	0	420	189.651
1.4	1	1	533.5	371.376
1.4	1	2	472	518.199
1.4	1	3	370.5	730.814
1.4	1	4	398.5	711.21
1.4	2	0	316	350.288
1.4	2	1	209	202.035
1.4	2	2	88.5	927.943
1.4	2	3	134.5	364.336
1.4	2	4	404.5	348.125
1.4	3	0	109.5	889.94
1.4	3	1	6.5	400.795
1.4	3	2	245	688.2
1.4	3	3	528.5	238.276
1.4	3	4	174.5	832.461
1.4	4	0	540	665.402
1.4	4	1	324.5	391.637
1.4	4	2	552.5	808.606
1.4	4	3	281	181.424
1.4	4	4	227	404.505
1.5	0	0	229.5	358.054
1.5	0	1	50.5	742.801
1.5	0	2	426.5	443.556
1.5	0	3	9.5	907.746
1.5	0	4	398.5	691.76
1.5	1	0	420	189.651
1.5	1	1	533.5	371.376
1.5	1	2	472	518.199
1.5	1	3	370.5	730.814
1.5	1	4	398.5	711.21
1.5	2	0	316	350.288
1.5	2	1	209	202.035
1.5	2	2	88.5	927.943
1.5	2	3	134.5	364.336
1.5	2	4	404.5	348.125
1.5	3	0	109.5	889.94
1.5	3	1	6.5	400.795
1.5	3	2	245	688.2
1.5	3	3	528.5	238.276
1.5	3	4	174.5	832.461
1.5	4	0	540	665.402
1.5	4	1	324.5	391.637
1.5	4	2	552.5	808.606
1.5	4	3	281	181.424
1.5	4	4	227	404.505
1.6	0	0	229.5	358.054
1.6	0	1	50.5	742.801
1.6	0	2	426.5	443.556
1.6	0	3	9.5	907.746
1.6	0	4	398.5	691.76
1.6	1	0	420	189.651
1.6	1	1	533.5	371.376
1.6	1	2	472	518.199
1.6	1	3	370.5	730.814
1.6	1	4	398.5	711.21
1.6	2	0	316	350.288
1.6	2	1	209	202.035
1.6	2	2	88.5	927.943
1.6	2	3	134.5	364.336
1.6	2	4	404.5	348.125
1.6	3	0	109.5	889.94
1.6	3	1	6.5	400.795
1.6	3	2	245	688.2
1.6	3	3	528.5	238.276
1.6	3	4	174.5	832.461
1.6	4	0	540	665.402
1.6	4	1	324.5	391.637
1.6	4	2	552.5	808.606
1.6	4	3	281	181.424
1.6	4	4	227	404.505
1.7	0	0	229.5	358.054
1.7	0	1	50.5	742.801
1.7	0	2	426.5	443.556
1.7	0	3	9.5	907.746
1.7	0	4	398.5	691.76
1.7	1	0	420	189.651
1.7	1	1	533.5	371.376
1.7	1	2	472	518.199
1.7	1	3	370.5	730.814
1.7	1	4	398.5	711.21
1.7	2	0	316	350.288
1.7	2	1	209	202.035
1.7	2	2	88.5	927.943
1.7	2	3	134.5	364.336
1.7	2	4	404.5	348.125
1.7	3	0	109.5	889.94
1.7	3	1	6.5	400.795
1.7	3	2	245	688.2
1.7	3	3	528.5	238.276
1.7	3	4	174.5	832.461
1.7	4	0	540	665.402
1.7	4	1	324.5	391.637
1.7	4	2	552.5	808.606
1.7	4	3	281	181.424
1.7	4	4	227	404.505
1.8	0	0	229.5	358.054
1.8	0	1	50.5	742.801
1.8	0	2	426.5	443.556
1.8	0	3	9.5	907.746
1.8	0	4	398.5	691.76
1.8	1	0	420	189.651
1.8	1	1	533.5	371.376
1.8	1	2	472	518.199
1.8	1	3	370.5	730.814
1.8	1	4	398.5	711.21
1.8	2	0	316	350.288
1.8	2	1	209	202.035
1.8	2	2	88.5	927.943
1.8	2	3	134.5	364.336
1.8	2	4	404.5	348.125
1.8	3	0	109.5	889.94
1.8	3	1	6.5	400.795
1.8	3	2	245	688.2
1.8	3	3	528.5	238.276
1.8	3	4	174.5	832.461
1.8	4	0	540	665.402
1.8	4	1	324.5	391.637
1.8	4	2	552.5	808.606
1.8	4	3	281	181.424
1.8	4	4	227	404.505
1.9	0	0	229.5	358.054
1.9	0	1	50.5	742.801
1.9	0	2	426.5	443.556
1.9	0	3	9.5	907.746
1.9	0	4	398.5	691.76
1.9	1	0	420	189.651
1.9	1	1	533.5	371.376
1.9	1	2	472	518.199
1.9	1	3	370.5	730.814
1.9	1	4	398.5	711.21
1.9	2	0	316	350.288
1.9	2	1	209	202.035
1.9	2	2	88.5	927.943
1.9	2	3	134.5	364.336
1.9	2	4	404.5	348.125
1.9	3	0	109.5	889.94
1.9	3	1	6.5	400.795
1.9	3	2	245	688.2
1.9	3	3	528.5	238.276
1.9	3	4	174.5	832.461
1.9	4	0	540	665.402
1.9	4	1	324.5	391.637
1.9	4	2	552.5	808.606
1.9	4	3	281	181.424
1.9	4	4	227	404.505
2	0	0	189.5	396.128
2	0	1	30.5	765.722
2	0	2	396.5	493.579
2	0	3	9.5	936.514
2	0	4	368.5	719.137
2	1	0	390	231.871
2	1	1	493.5	441.757
2	1	2	422	594.474
2	1	3	320.5	805.977
2	1	4	358.5	757.998
2	2	0	266	424.034
2	2	1	189	224.038
2	2	2	78.5	937.622
2	2	3	94.5	429.852
2	2	4	354.5	422.048
2	3	0	69.5	947.888
2	3	1	6.5	507.759
2	3	2	185	765.345
2	3	3	518.5	254.767
2	3	4	124.5	908.297
2	4	0	500	700.387
2	4	1	274.5	453.6
2	4	2	522.5	845.684
2	4	3	271	200.484
2	4	4	197	436.321
2.1	0	0	189.5	396.128
2.1	0	1	30.5	765.722
2.1	0	2	396.5	493.579
2.1	0	3	9.5	936.514
2.1	0	4	368.5	719.137
2.1	1	0	390	231.871
2.1	1	1	493.5	441.757
2.1	1	2	422	594.474
2.1	1	3	320.5	805.977
2.1	1	4	358.5	757.998
2.1	2	0	266	424.034
2.1	2	1	189	224.038
2.1	2	2	78.5	937.622
2.1	2	3	94.5	429.852
2.1	2	4	354.5	422.048
2.1	3	0	69.5	947.888
2.1	3	1	6.5	507.759
2.1	3	2	185	765.345
2.1	3	3	518.5	254.767
2.1	3	4	124.5	908.297
2.1	4	0	500	700.387
2.1	4	1	274.5	453.6
2.1	4	2	522.5	845.684
2.1	4	3	271	200.484
2.1	4	4	197	436.321
2.2	0	0	189.5	396.128
2.2	0	1	30.5	765.722
2.2	0	2	396.5	493.579
2.2	0	3	9.5	936.514
2.2	0	4	368.5	719.137
2.2	1	0	390	231.871
2.2	1	1	493.5	441.757
2.2	1	2	422	594.474
2.2	1	3	320.5	805.977
2.2	1	4	358.5	757.998
2.2	2	0	266	424.034
2.2	2	1	189	224.038
2.2	2	2	78.5	937.622
2.2	2	3	94.5	429.852
2.2	2	4	354.5	422.048
2.2	3	0	69.5	947.888
2.2	3	1	6.5	507.759
2.2	3	2	185	765.345
2.2	3	3	518.5	254.767
2.2	3	4	124.5	908.297
2.2	4	0	500	700.387
2.2	4	1	274.5	453.6
2.2	4	2	522.5	845.684
2.2	4	3	271	200.484
2.2	4	4	197	436.321
2.3	0	0	189.5	396.128
2.3	0	1	30.5	765.722
2.3	0	2	396.5	493.579
2.3	0	3	9.5	936.514
2.3	0	4	368.5	719.137
2.3	1	0	390	231.871
2.3	1	1	493.5	441.757
2.3	1	2	422	594.474
2.3	1	3	320.5	805.977
2.3	1	4	358.5	757.998
2.3	2	0	266	424.034
2.3	2	1	189	224.038
2.3	2	2	78.5	937.622
2.3	2	3	94.5	429.852
2.3	2	4	354.5	422.048
2.3	3	0	69.5	947.888
2.3	3	1	6.5	507.759
2.3	3	2	185	765.345
2.3	3	3	518.5	254.767
2.3	3	4	124.5	908.297
2.3	4	0	500	700.387
2.3	4	1	274.5	453.6
2.3	4	2	522.5	845.684
2.3	4	3	271	200.484
2.3	4	4	197	436.321
2.4	0	0	189.5	396.128
2.4	0	1	30.5	765.722
2.4	0	2	396.5	493.579
2.4	0	3	9.5	936.514
2.4	0	4	368.5	719.137
2.4	1	0	390	231.871
2.4	1	1	493.5	441.757
2.4	1	2	422	594.474
2.4	1	3	320.5	805.977
2.4	1	4	358.5	757.998
2.4	2	0	266	424.034
2.4	2	1	189	224.038
2.4	2	2	78.5	937.622
2.4	2	3	94.5	429.852
2.4	2	4	354.5	422.048
2.4	3	0	69.5	947.888
2.4	3	1	6.5	507.759
2.4	3	2	185	765.345
2.4	3	3	518.5	254.767
2.4	3	4	124.5	908.297
2.4	4	0	500	700.387
2.4	4	1	274.5	453.6
2.4	4	2	522.5	845.684
2.4	4	3	271	200.484
2.4	4	4	197	436.321
2.5	0	0	189.5	396.128
2.5	0	1	30.5	765.722
2.5	0	2	396.5	493.579
2.5	0	3	9.5	936.514
2.5	0	4	368.5	719.137
2.5	1	0	390	231.871
2.5	1	1	493.5	441.757
2.5	1	2	422	594.474
2.5	1	3	320.5	805.977
2.5	1	4	358.5	757.998
2.5	2	0	266	424.034
2.5	2	1	189	224.038
2.5	2	2	78.5	937.622
2.5	2	3	94.5	429.852
2.5	2	4	354.5	422.048
2.5	3	0	69.5	947.888
2.5	3	1	6.5	507.759
2.5	3	2	185	765.345
2.5	3	3	518.5	254.767
2.5	3	4	124.5	908.297
2.5	4	0	500	700.387
2.5	4	1	274.5	453.6
2.5	4	2	522.5	845.684
2.5	4	3	271	200.484
2.5	4	4	197	436.321
2.6	0	0	189.5	396.128
2.6	0	1	30.5	765.722
2.6	0	2	396.5	493.579
2.6	0	3	9.5	936.514
2.6	0	4	368.5	719.137
2.6	1	0	390	231.871
2.6	1	1	493.5	441.757
2.6	1	2	422	594.474
2.6	1	3	320.5	805.977
2.6	1	4	358.5	757.998
2.6	2	0	266	424.034
2.6	2	1	189	224.038
2.6	2	2	78.5	937.622
2.6	2	3	94.5	429.852
2.6	2	4	354.5	422.048
2.6	3	0	69.5	947.888
2.6	3	1	6.5	507.759
2.6	3	2	185	765.345
2.6	3	3	518.5	254.767
2.6	3	4	124.5	908.297
2.6	4	0	500	700.387
2.6	4	1	274.5	453.6
2.6	4	2	522.5	845.684
2.6	4	3	271	200.484
2.6	4	4	197	436.321
2.7	0	0	189.5	396.128
2.7	0	1	30.5	765.722
2.7	0	2	396.5	493.579
2.7	0	3	9.5	936.514
2.7	0	4	368.5	719.137
2.7	1	0	390	231.871
2.7	1	1	493.5	441.757
2.7	1	2	422	594.474
2.7	1	3	320.5	805.977
2.7	1	4	358.5	757.998
2.7	2	0	266	424.034
2.7	2	1	189	224.038
2.7	2	2	78.5	937.622
2.7	2	3	94.5	429.852
2.7	2	4	354.5	422.048
2.7	3	0	69.5	947.888
2.7	3	1	6.5	507.759
2.7	3	2	185	765.345
2.7	3	3	518.5	254.767
2.7	3	4	124.5	908.297
2.7	4	0	500	700.387
2.7	4	1	274.5	453.6
2.7	4	2	522.5	845.684
2.7	4	3	271	200.484
2.7	4	4	197	436.321
2.8	0	0	189.5	396.128
2.8	0	1	30.5	765.722
2.8	0	2	396.5	493.579
2.8	0	3	9.5	936.514
2.8	0	4	368.5	719.137
2.8	1	0	390	231.871
2.8	1	1	493.5	441.757
2.8	1	2	422	594.474
2.8	1	3	320.5	805.977
2.8	1	4	358.5	757.998
2.8	2	0	266	424.034
2.8	2	1	189	224.038
2.8	2	2	78.5	937.622
2.8	2	3	94.5	429.852
2.8	2	4	354.5	422.048
2.8	3	0	69.5	947.888
2.8	3	1	6.5	507.759
2.8	3	2	185	765.345
2.8	3	3	518.5	254.767
2.8	3	4	124.5	908.297
2.8	4	0	500	700.387
2.8	4	1	274.5	453.6
2.8	4	2	522.5	845.684
2.8	4	3	271	200.484
2.8	4	4	197	436.321
2.9	0	0	189.5	396.128
2.9	0	1	30.5	765.722
2.9	0	2	396.5	493.579
2.9	0	3	9.5	936.514
2.9	0	4	368.5	719.137
2.9	1	0	390	231.871
2.9	1	1	493.5	441.757
2.9	1	2	422	594.474
2.9	1	3	320.5	805.977
2.9	1	4	358.5	757.998
2.9	2	0	266	424.034
2.9	2	1	189	224.038
2.9	2	2	78.5	937.622
2.9	2	3	94.5	429.852
2.9	2	4	354.5	422.048
2.9	3	0	69.5	947.888
2.9	3	1	6.5	507.759
2.9	3	2	185	765.345
2.9	3	3	518.5	254.767
2.9	3	4	124.5	908.297
2.9	4	0	500	700.387
2.9	4	1	274.5	453.6
2.9	4	2	522.5	845.684
2.9	4	3	271	200.484
2.9	4	4	197	436.321
3	0	0	149.5	417.699
3	0	1	0.5	809.677
3	0	2	366.5	546.895
3	0	3	9.5	966.919
3	0	4	328.5	765.272
3	1	0	360	260.233
3	1	1	463.5	500.245
3	1	2	402	625.34
3	1	3	280.5	880.827
3	1	4	338.5	776.453
3	2	0	196	545.78
3	2	1	159	249.704
3	2	2	58.5	967.655
3	2	3	54.5	502.775
3	2	4	304.5	486.821
3	3	0	39.5	993.084
3	3	1	6.5	591.004
3	3	2	145	829.913
3	3	3	498.5	293.618
3	3	4	74.5	953.619
3	4	0	460	754.065
3	4	1	244.5	479.375
3	4	2	452.5	935.006
3	4	3	251	240.54
3	4	4	167	471.711
3.1	0	0	149.5	417.699
3.1	0	1	0.5	809.677
3.1	0	2	366.5	546.895
3.1	0	3	9.5	966.919
3.1	0	4	328.5	765.272
3.1	1	0	360	260.233
3.1	1	1	463.5	500.245
3.1	1	2	402	625.34
3.1	1	3	280.5	880.827
3.1	1	4	338.5	776.453
3.1	2	0	196	545.78
3.1	2	1	159	249.704
3.1	2	2	58.5	967.655
3.1	2	3	54.5	502.775
3.1	2	4	304.5	486.821
3.1	3	0	39.5	993.084
3.1	3	1	6.5	591.004
3.1	3	2	145	829.913
3.1	3	3	498.5	293.618
3.1	3	4	74.5	953.619
3.1	4	0	460	754.065
3.1	4	1	244.5	479.375
3.1	4	2	452.5	935.006
3.1	4	3	251	240.54
3.1	4	4	167	471.711
3.2	0	0	149.5	417.699
3.2	0	1	0.5	809.677
3.2	0	2	366.5	546.895
3.2	0	3	9.5	966.919
3.2	0	4	328.5	765.272
3.2	1	0	360	260.233
3.2	1	1	463.5	500.245
3.2	1	2	402	625.34
3.2	1	3	280.5	880.827
3.2	1	4	338.5	776.453
3.2	2	0	196	545.78
3.2	2	1	159	249.704
3.2	2	2	58.5	967.655
3.2	2	3	54.5	502.775
3.2	2	4	304.5	486.821
3.2	3	0	39.5	993.084
3.2	3	1	6.5	591.004
3.2	3	2	145	829.913
3.2	3	3	498.5	293.618
3.2	3	4	74.5	953.619
3.2	4	0	460	754.065
