t	i_ind	j_ind	S1	S2
3.7	4	0	460	754.065
3.7	4	1	244.5	479.375
3.7	4	2	452.5	935.006
3.7	4	3	251	240.54
3.7	4	4	167	471.711
3.8	0	0	149.5	417.699
3.8	0	1	0.5	809.677
3.8	0	2	366.5	546.895
3.8	0	3	9.5	966.919
3.8	0	4	328.5	765.272
3.8	1	0	360	260.233
3.8	1	1	463.5	500.245
3.8	1	2	402	625.34
3.8	1	3	280.5	880.827
3.8	1	4	338.5	776.453
3.8	2	0	196	545.78
3.8	2	1	159	249.704
3.8	2	2	58.5	967.655
3.8	2	3	54.5	502.775
3.8	2	4	304.5	486.821
3.8	3	0	39.5	993.084
3.8	3	1	6.5	591.004
3.8	3	2	145	829.913
3.8	3	3	498.5	293.618
3.8	3	4	74.5	953.619
3.8	4	0	460	754.065
3.8	4	1	244.5	479.375
3.8	4	2	452.5	935.006
3.8	4	3	251	240.54
3.8	4	4	167	471.711
3.9	0	0	149.5	417.699
3.9	0	1	0.5	809.677
3.9	0	2	366.5	546.895
3.9	0	3	9.5	966.919
3.9	0	4	328.5	765.272
3.9	1	0	360	260.233
3.9	1	1	463.5	500.245
3.9	1	2	402	625.34
3.9	1	3	280.5	880.827
3.9	1	4	338.5	776.453
3.9	2	0	196	545.78
3.9	2	1	159	249.704
3.9	2	2	58.5	967.655
3.9	2	3	54.5	502.775
3.9	2	4	304.5	486.821
3.9	3	0	39.5	993.084
3.9	3	1	6.5	591.004
3.9	3	2	145	829.913
3.9	3	3	498.5	293.618
3.9	3	4	74.5	953.619
3.9	4	0	460	754.065
3.9	4	1	244.5	479.375
3.9	4	2	452.5	935.006
3.9	4	3	251	240.54
3.9	4	4	167	471.711
4	0	0	99.5	469.965
4	0	1	0.5	809.677
4	0	2	336.5	592.044
4	0	3	9.5	993.44
4	0	4	308.5	790.697
4	1	0	330	304.76
4	1	1	413.5	566.538
4	1	2	362	691.376
4	1	3	250.5	937.039
4	1	4	298.5	801.91
4	2	0	126	663.751
4	2	1	139	297.447
4	2	2	48.5	978.758
4	2	3	34.5	540.442
4	2	4	254.5	534.876
4	3	0	9.5	1031.2
4	3	1	6.5	650.969
4	3	2	125	853.803
4	3	3	478.5	330.121
4	3	4	34.5	998.808
4	4	0	410	816.804
4	4	1	214.5	522.871
4	4	2	402.5	985.643
4	4	3	211	316.8
4	4	4	137	509.905
4.1	0	0	99.5	469.965
4.1	0	1	0.5	809.677
4.1	0	2	336.5	592.044
4.1	0	3	9.5	993.44
4.1	0	4	308.5	790.697
4.1	1	0	330	304.76
4.1	1	1	413.5	566.538
4.1	1	2	362	691.376
4.1	1	3	250.5	937.039
4.1	1	4	298.5	801.91
4.1	2	0	126	663.751
4.1	2	1	139	297.447
4.1	2	2	48.5	978.758
4.1	2	3	34.5	540.442
4.1	2	4	254.5	534.876
4.1	3	0	9.5	1031.2
4.1	3	1	6.5	650.969
4.1	3	2	125	853.803
4.1	3	3	478.5	330.121
4.1	3	4	34.5	998.808
4.1	4	0	410	816.804
4.1	4	1	214.5	522.871
4.1	4	2	402.5	985.643
4.1	4	3	211	316.8
4.1	4	4	137	509.905
4.2	0	0	99.5	469.965
4.2	0	1	0.5	809.677
4.2	0	2	336.5	592.044
4.2	0	3	9.5	993.44
4.2	0	4	308.5	790.697
4.2	1	0	330	304.76
4.2	1	1	413.5	566.538
4.2	1	2	362	691.376
4.2	1	3	250.5	937.039
4.2	1	4	298.5	801.91
4.2	2	0	126	663.751
4.2	2	1	139	297.447
4.2	2	2	48.5	978.758
4.2	2	3	34.5	540.442
4.2	2	4	254.5	534.876
4.2	3	0	9.5	1031.2
4.2	3	1	6.5	650.969
4.2	3	2	125	853.803
4.2	3	3	478.5	330.121
4.2	3	4	34.5	998.808
4.2	4	0	410	816.804
4.2	4	1	214.5	522.871
4.2	4	2	402.5	985.643
4.2	4	3	211	316.8
4.2	4	4	137	509.905
4.3	0	0	99.5	469.965
4.3	0	1	0.5	809.677
4.3	0	2	336.5	592.044
4.3	0	3	9.5	993.44
4.3	0	4	308.5	790.697
4.3	1	0	330	304.76
4.3	1	1	413.5	566.538
4.3	1	2	362	691.376
4.3	1	3	250.5	937.039
4.3	1	4	298.5	801.91
4.3	2	0	126	663.751
4.3	2	1	139	297.447
4.3	2	2	48.5	978.758
4.3	2	3	34.5	540.442
4.3	2	4	254.5	534.876
4.3	3	0	9.5	1031.2
4.3	3	1	6.5	650.969
4.3	3	2	125	853.803
4.3	3	3	478.5	330.121
4.3	3	4	34.5	998.808
4.3	4	0	410	816.804
4.3	4	1	214.5	522.871
4.3	4	2	402.5	985.643
4.3	4	3	211	316.8
4.3	4	4	137	509.905
4.4	0	0	99.5	469.965
4.4	0	1	0.5	809.677
4.4	0	2	336.5	592.044
4.4	0	3	9.5	993.44
4.4	0	4	308.5	790.697
4.4	1	0	330	304.76
4.4	1	1	413.5	566.538
4.4	1	2	362	691.376
4.4	1	3	250.5	937.039
4.4	1	4	298.5	801.91
4.4	2	0	126	663.751
4.4	2	1	139	297.447
4.4	2	2	48.5	978.758
4.4	2	3	34.5	540.442
4.4	2	4	254.5	534.876
4.4	3	0	9.5	1031.2
4.4	3	1	6.5	650.969
4.4	3	2	125	853.803
4.4	3	3	478.5	330.121
4.4	3	4	34.5	998.808
4.4	4	0	410	816.804
4.4	4	1	214.5	522.871
4.4	4	2	402.5	985.643
4.4	4	3	211	316.8
4.4	4	4	137	509.905
4.5	0	0	99.5	469.965
4.5	0	1	0.5	809.677
4.5	0	2	336.5	592.044
4.5	0	3	9.5	993.44
4.5	0	4	308.5	790.697
4.5	1	0	330	304.76
4.5	1	1	413.5	566.538
4.5	1	2	362	691.376
4.5	1	3	250.5	937.039
4.5	1	4	298.5	801.91
4.5	2	0	126	663.751
4.5	2	1	139	297.447
4.5	2	2	48.5	978.758
4.5	2	3	34.5	540.442
4.5	2	4	254.5	534.876
4.5	3	0	9.5	1031.2
4.5	3	1	6.5	650.969
4.5	3	2	125	853.803
4.5	3	3	478.5	330.121
4.5	3	4	34.5	998.808
4.5	4	0	410	816.804
4.5	4	1	214.5	522.871
4.5	4	2	402.5	985.643
4.5	4	3	211	316.8
4.5	4	4	137	509.905
4.6	0	0	99.5	469.965
4.6	0	1	0.5	809.677
4.6	0	2	336.5	592.044
4.6	0	3	9.5	993.44
4.6	0	4	308.5	790.697
4.6	1	0	330	304.76
4.6	1	1	413.5	566.538
4.6	1	2	362	691.376
4.6	1	3	250.5	937.039
4.6	1	4	298.5	801.91
4.6	2	0	126	663.751
4.6	2	1	139	297.447
4.6	2	2	48.5	978.758
4.6	2	3	34.5	540.442
4.6	2	4	254.5	534.876
4.6	3	0	9.5	1031.2
4.6	3	1	6.5	650.969
4.6	3	2	125	853.803
4.6	3	3	478.5	330.121
4.6	3	4	34.5	998.808
4.6	4	0	410	816.804
4.6	4	1	214.5	522.871
4.6	4	2	402.5	985.643
4.6	4	3	211	316.8
4.6	4	4	137	509.905
4.7	0	0	99.5	469.965
4.7	0	1	0.5	809.677
4.7	0	2	336.5	592.044
4.7	0	3	9.5	993.44
4.7	0	4	308.5	790.697
4.7	1	0	330	304.76
4.7	1	1	413.5	566.538
4.7	1	2	362	691.376
4.7	1	3	250.5	937.039
4.7	1	4	298.5	801.91
4.7	2	0	126	663.751
4.7	2	1	139	297.447
4.7	2	2	48.5	978.758
4.7	2	3	34.5	540.442
4.7	2	4	254.5	534.876
4.7	3	0	9.5	1031.2
4.7	3	1	6.5	650.969
4.7	3	2	125	853.803
4.7	3	3	478.5	330.121
4.7	3	4	34.5	998.808
4.7	4	0	410	816.804
4.7	4	1	214.5	522.871
4.7	4	2	402.5	985.643
4.7	4	3	211	316.8
4.7	4	4	137	509.905
4.8	0	0	99.5	469.965
4.8	0	1	0.5	809.677
4.8	0	2	336.5	592.044
4.8	0	3	9.5	993.44
4.8	0	4	308.5	790.697
4.8	1	0	330	304.76
4.8	1	1	413.5	566.538
4.8	1	2	362	691.376
4.8	1	3	250.5	937.039
4.8	1	4	298.5	801.91
4.8	2	0	126	663.751
4.8	2	1	139	297.447
4.8	2	2	48.5	978.758
4.8	2	3	34.5	540.442
4.8	2	4	254.5	534.876
4.8	3	0	9.5	1031.2
4.8	3	1	6.5	650.969
4.8	3	2	125	853.803
4.8	3	3	478.5	330.121
4.8	3	4	34.5	998.808
4.8	4	0	410	816.804
4.8	4	1	214.5	522.871
4.8	4	2	402.5	985.643
4.8	4	3	211	316.8
4.8	4	4	137	509.905
4.9	0	0	99.5	469.965
4.9	0	1	0.5	809.677
4.9	0	2	336.5	592.044
4.9	0	3	9.5	993.44
4.9	0	4	308.5	790.697
4.9	1	0	330	304.76
4.9	1	1	413.5	566.538
4.9	1	2	362	691.376
4.9	1	3	250.5	937.039
4.9	1	4	298.5	801.91
4.9	2	0	126	663.751
4.9	2	1	139	297.447
4.9	2	2	48.5	978.758
4.9	2	3	34.5	540.442
4.9	2	4	254.5	534.876
4.9	3	0	9.5	1031.2
4.9	3	1	6.5	650.969
4.9	3	2	125	853.803
4.9	3	3	478.5	330.121
4.9	3	4	34.5	998.808
4.9	4	0	410	816.804
4.9	4	1	214.5	522.871
4.9	4	2	402.5	985.643
4.9	4	3	211	316.8
4.9	4	4	137	509.905
5	0	0	99.5	469.965
5	0	1	0.5	809.677
5	0	2	336.5	592.044
5	0	3	9.5	993.44
5	0	4	308.5	790.697
5	1	0	330	304.76
5	1	1	413.5	566.538
5	1	2	362	691.376
5	1	3	250.5	937.039
5	1	4	298.5	801.91
5	2	0	126	663.751
5	2	1	139	297.447
5	2	2	48.5	978.758
5	2	3	34.5	540.442
5	2	4	254.5	534.876
5	3	0	9.5	1031.2
5	3	1	6.5	650.969
5	3	2	125	853.803
5	3	3	478.5	330.121
5	3	4	34.5	998.808
5	4	0	410	816.804
5	4	1	214.5	522.871
5	4	2	402.5	985.643
5	4	3	211	316.8
5	4	4	137	509.905
5.1	0	0	69.5	495.731
5.1	0	1	0.5	867.336
5.1	0	2	316.5	618.98
5.1	0	3	9.5	1022.56
5.1	0	4	288.5	817.69
5.1	1	0	300	337.804
5.1	1	1	393.5	606.714
5.1	1	2	312	784.223
5.1	1	3	240.5	960.999
5.1	1	4	258.5	843.286
5.1	2	0	76	769.27
5.1	2	1	109	322.826
5.1	2	2	38.5	995.512
5.1	2	3	4.5	579.586
5.1	2	4	194.5	590.635
5.1	3	0	9.5	1082.49
5.1	3	1	6.5	710.172
5.1	3	2	75	924.063
5.1	3	3	438.5	390.747
5.1	3	4	24.5	1005.71
5.1	4	0	380	862.155
5.1	4	1	174.5	562.233
5.1	4	2	342.5	1068.76
5.1	4	3	181	366.011
5.1	4	4	107	550.461
5.2	0	0	69.5	495.731
5.2	0	1	0.5	867.336
5.2	0	2	316.5	618.98
5.2	0	3	9.5	1022.56
5.2	0	4	288.5	817.69
5.2	1	0	300	337.804
5.2	1	1	393.5	606.714
5.2	1	2	312	784.223
5.2	1	3	240.5	960.999
5.2	1	4	258.5	843.286
5.2	2	0	76	769.27
5.2	2	1	109	322.826
5.2	2	2	38.5	995.512
5.2	2	3	4.5	579.586
5.2	2	4	194.5	590.635
5.2	3	0	9.5	1082.49
5.2	3	1	6.5	710.172
5.2	3	2	75	924.063
5.2	3	3	438.5	390.747
5.2	3	4	24.5	1005.71
5.2	4	0	380	862.155
5.2	4	1	174.5	562.233
5.2	4	2	342.5	1068.76
5.2	4	3	181	366.011
5.2	4	4	107	550.461
5.3	0	0	69.5	495.731
5.3	0	1	0.5	867.336
5.3	0	2	316.5	618.98
5.3	0	3	9.5	1022.56
5.3	0	4	288.5	817.69
5.3	1	0	300	337.804
5.3	1	1	393.5	606.714
5.3	1	2	312	784.223
5.3	1	3	240.5	960.999
5.3	1	4	258.5	843.286
5.3	2	0	76	769.27
5.3	2	1	109	322.826
5.3	2	2	38.5	995.512
5.3	2	3	4.5	579.586
5.3	2	4	194.5	590.635
5.3	3	0	9.5	1082.49
5.3	3	1	6.5	710.172
5.3	3	2	75	924.063
5.3	3	3	438.5	390.747
5.3	3	4	24.5	1005.71
5.3	4	0	380	862.155
5.3	4	1	174.5	562.233
5.3	4	2	342.5	1068.76
5.3	4	3	181	366.011
5.3	4	4	107	550.461
5.4	0	0	69.5	495.731
5.4	0	1	0.5	867.336
5.4	0	2	316.5	618.98
5.4	0	3	9.5	1022.56
5.4	0	4	288.5	817.69
5.4	1	0	300	337.804
5.4	1	1	393.5	606.714
5.4	1	2	312	784.223
5.4	1	3	240.5	960.999
5.4	1	4	258.5	843.286
5.4	2	0	76	769.27
5.4	2	1	109	322.826
5.4	2	2	38.5	995.512
5.4	2	3	4.5	579.586
5.4	2	4	194.5	590.635
5.4	3	0	9.5	1082.49
5.4	3	1	6.5	710.172
5.4	3	2	75	924.063
5.4	3	3	438.5	390.747
5.4	3	4	24.5	1005.71
5.4	4	0	380	862.155
5.4	4	1	174.5	562.233
5.4	4	2	342.5	1068.76
5.4	4	3	181	366.011
5.4	4	4	107	550.461
5.5	0	0	69.5	495.731
5.5	0	1	0.5	867.336
5.5	0	2	316.5	618.98
5.5	0	3	9.5	1022.56
5.5	0	4	288.5	817.69
5.5	1	0	300	337.804
5.5	1	1	393.5	606.714
5.5	1	2	312	784.223
5.5	1	3	240.5	960.999
5.5	1	4	258.5	843.286
5.5	2	0	76	769.27
5.5	2	1	109	322.826
5.5	2	2	38.5	995.512
5.5	2	3	4.5	579.586
5.5	2	4	194.5	590.635
5.5	3	0	9.5	1082.49
5.5	3	1	6.5	710.172
5.5	3	2	75	924.063
5.5	3	3	438.5	390.747
5.5	3	4	24.5	1005.71
5.5	4	0	380	862.155
5.5	4	1	174.5	562.233
5.5	4	2	342.5	1068.76
5.5	4	3	181	366.011
5.5	4	4	107	550.461
5.6	0	0	69.5	495.731
5.6	0	1	0.5	867.336
5.6	0	2	316.5	618.98
5.6	0	3	9.5	1022.56
5.6	0	4	288.5	817.69
5.6	1	0	300	337.804
5.6	1	1	393.5	606.714
5.6	1	2	312	784.223
5.6	1	3	240.5	960.999
5.6	1	4	258.5	843.286
5.6	2	0	76	769.27
5.6	2	1	109	322.826
5.6	2	2	38.5	995.512
5.6	2	3	4.5	579.586
5.6	2	4	194.5	590.635
5.6	3	0	9.5	1082.49
5.6	3	1	6.5	710.172
5.6	3	2	75	924.063
5.6	3	3	438.5	390.747
5.6	3	4	24.5	1005.71
5.6	4	0	380	862.155
5.6	4	1	174.5	562.233
5.6	4	2	342.5	1068.76
5.6	4	3	181	366.011
5.6	4	4	107	550.461
5.7	0	0	69.5	495.731
5.7	0	1	0.5	867.336
5.7	0	2	316.5	618.98
5.7	0	3	9.5	1022.56
5.7	0	4	288.5	817.69
5.7	1	0	300	337.804
5.7	1	1	393.5	606.714
5.7	1	2	312	784.223
5.7	1	3	240.5	960.999
5.7	1	4	258.5	843.286
5.7	2	0	76	769.27
5.7	2	1	109	322.826
5.7	2	2	38.5	995.512
5.7	2	3	4.5	579.586
5.7	2	4	194.5	590.635
5.7	3	0	9.5	1082.49
5.7	3	1	6.5	710.172
5.7	3	2	75	924.063
5.7	3	3	438.5	390.747
5.7	3	4	24.5	1005.71
5.7	4	0	380	862.155
5.7	4	1	174.5	562.233
5.7	4	2	342.5	1068.76
5.7	4	3	181	366.011
5.7	4	4	107	550.461
5.8	0	0	69.5	495.731
5.8	0	1	0.5	867.336
5.8	0	2	316.5	618.98
5.8	0	3	9.5	1022.56
5.8	0	4	288.5	817.69
5.8	1	0	300	337.804
5.8	1	1	393.5	606.714
5.8	1	2	312	784.223
5.8	1	3	240.5	960.999
5.8	1	4	258.5	843.286
5.8	2	0	76	769.27
5.8	2	1	109	322.826
5.8	2	2	38.5	995.512
5.8	2	3	4.5	579.586
5.8	2	4	194.5	590.635
5.8	3	0	9.5	1082.49
5.8	3	1	6.5	710.172
5.8	3	2	75	924.063
5.8	3	3	438.5	390.747
5.8	3	4	24.5	1005.71
5.8	4	0	380	862.155
5.8	4	1	174.5	562.233
5.8	4	2	342.5	1068.76
5.8	4	3	181	366.011
5.8	4	4	107	550.461
5.9	0	0	69.5	495.731
5.9	0	1	0.5	867.336
5.9	0	2	316.5	618.98
5.9	0	3	9.5	1022.56
5.9	0	4	288.5	817.69
5.9	1	0	300	337.804
5.9	1	1	393.5	606.714
5.9	1	2	312	784.223
5.9	1	3	240.5	960.999
5.9	1	4	258.5	843.286
5.9	2	0	76	769.27
5.9	2	1	109	322.826
5.9	2	2	38.5	995.512
5.9	2	3	4.5	579.586
5.9	2	4	194.5	590.635
5.9	3	0	9.5	1082.49
5.9	3	1	6.5	710.172
5.9	3	2	75	924.063
5.9	3	3	438.5	390.747
5.9	3	4	24.5	1005.71
5.9	4	0	380	862.155
5.9	4	1	174.5	562.233
5.9	4	2	342.5	1068.76
5.9	4	3	181	366.011
5.9	4	4	107	550.461
6	0	0	69.5	495.731
6	0	1	0.5	867.336
6	0	2	316.5	618.98
6	0	3	9.5	1022.56
6	0	4	288.5	817.69
6	1	0	300	337.804
6	1	1	393.5	606.714
6	1	2	312	784.223
6	1	3	240.5	960.999
6	1	4	258.5	843.286
6	2	0	76	769.27
6	2	1	109	322.826
6	2	2	38.5	995.512
6	2	3	4.5	579.586
6	2	4	194.5	590.635
6	3	0	9.5	1082.49
6	3	1	6.5	710.172
6	3	2	75	924.063
6	3	3	438.5	390.747
6	3	4	24.5	1005.71
6	4	0	380	862.155
6	4	1	174.5	562.233
6	4	2	342.5	1068.76
6	4	3	181	366.011
6	4	4	107	550.461
6.1	0	0	38.6153	531.712
6.1	0	1	0.5	923.454
6.1	0	2	296.5	639.531
6.1	0	3	9.5	1067.17
6.1	0	4	268.5	843.206
6.1	1	0	290	352.17
6.1	1	1	333.5	678.386
6.1	1	2	302	799.493
6.1	1	3	210.5	1008.06
6.1	1	4	228.5	866.587
6.1	2	0	26	845.367
6.1	2	1	89	367.861
6.1	2	2	8.5	1033.1
6.1	2	3	4.5	590.736
6.1	2	4	134.5	641.814
6.1	3	0	9.5	1152.87
6.1	3	1	6.5	778.886
6.1	3	2	35	974.249
6.1	3	3	388.5	450.316
6.1	3	4	4.5	1012.08
6.1	4	0	360	886.355
6.1	4	1	94.5	620.687
6.1	4	2	302.5	1100.77
6.1	4	3	171	389.303
6.1	4	4	67	601.263
6.2	0	0	38.6153	531.712
6.2	0	1	0.5	923.454
6.2	0	2	296.5	639.531
6.2	0	3	9.5	1067.17
6.2	0	4	268.5	843.206
6.2	1	0	290	352.17
6.2	1	1	333.5	678.386
6.2	1	2	302	799.493
6.2	1	3	210.5	1008.06
6.2	1	4	228.5	866.587
6.2	2	0	26	845.367
6.2	2	1	89	367.861
6.2	2	2	8.5	1033.1
6.2	2	3	4.5	590.736
6.2	2	4	134.5	641.814
6.2	3	0	9.5	1152.87
6.2	3	1	6.5	778.886
6.2	3	2	35	974.249
6.2	3	3	388.5	450.316
6.2	3	4	4.5	1012.08
6.2	4	0	360	886.355
6.2	4	1	94.5	620.687
6.2	4	2	302.5	1100.77
6.2	4	3	171	389.303
6.2	4	4	67	601.263
6.3	0	0	38.6153	531.712
6.3	0	1	0.5	923.454
6.3	0	2	296.5	639.531
6.3	0	3	9.5	1067.17
6.3	0	4	268.5	843.206
6.3	1	0	290	352.17
6.3	1	1	333.5	678.386
6.3	1	2	302	799.493
6.3	1	3	210.5	1008.06
6.3	1	4	228.5	866.587
6.3	2	0	26	845.367
6.3	2	1	89	367.861
6.3	2	2	8.5	1033.1
6.3	2	3	4.5	590.736
6.3	2	4	134.5	641.814
6.3	3	0	9.5	1152.87
6.3	3	1	6.5	778.886
6.3	3	2	35	974.249
6.3	3	3	388.5	450.316
6.3	3	4	4.5	1012.08
6.3	4	0	360	886.355
6.3	4	1	94.5	620.687
6.3	4	2	302.5	1100.77
6.3	4	3	171	389.303
6.3	4	4	67	601.263
6.4	0	0	38.6153	531.712
6.4	0	1	0.5	923.454
6.4	0	2	296.5	639.531
6.4	0	3	9.5	1067.17
6.4	0	4	268.5	843.206
6.4	1	0	290	352.17
6.4	1	1	333.5	678.386
6.4	1	2	302	799.493
6.4	1	3	210.5	1008.06
6.4	1	4	228.5	866.587
6.4	2	0	26	845.367
6.4	2	1	89	367.861
6.4	2	2	8.5	1033.1
6.4	2	3	4.5	590.736
6.4	2	4	134.5	641.814
6.4	3	0	9.5	1152.87
6.4	3	1	6.5	778.886
6.4	3	2	35	974.249
6.4	3	3	388.5	450.316
6.4	3	4	4.5	1012.08
6.4	4	0	360	886.355
6.4	4	1	94.5	620.687
6.4	4	2	302.5	1100.77
6.4	4	3	171	389.303
6.4	4	4	67	601.263
6.5	0	0	38.6153	531.712
6.5	0	1	0.5	923.454
6.5	0	2	296.5	639.531
6.5	0	3	9.5	1067.17
6.5	0	4	268.5	843.206
6.5	1	0	290	352.17
6.5	1	1	333.5	678.386
6.5	1	2	302	799.493
6.5	1	3	210.5	1008.06
6.5	1	4	228.5	866.587
6.5	2	0	26	845.367
6.5	2	1	89	367.861
6.5	2	2	8.5	1033.1
6.5	2	3	4.5	590.736
6.5	2	4	134.5	641.814
6.5	3	0	9.5	1152.87
6.5	3	1	6.5	778.886
6.5	3	2	35	974.249
6.5	3	3	388.5	450.316
6.5	3	4	4.5	1012.08
6.5	4	0	360	886.355
6.5	4	1	94.5	620.687
6.5	4	2	302.5	1100.77
6.5	4	3	171	389.303
6.5	4	4	67	601.263
6.6	0	0	38.6153	531.712
6.6	0	1	0.5	923.454
6.6	0	2	296.5	639.531
6.6	0	3	9.5	1067.17
6.6	0	4	268.5	843.206
6.6	1	0	290	352.17
6.6	1	1	333.5	678.386
6.6	1	2	302	799.493
6.6	1	3	210.5	1008.06
6.6	1	4	228.5	866.587
6.6	2	0	26	845.367
6.6	2	1	89	367.861
6.6	2	2	8.5	1033.1
6.6	2	3	4.5	590.736
6.6	2	4	134.5	641.814
6.6	3	0	9.5	1152.87
6.6	3	1	6.5	778.886
6.6	3	2	35	974.249
6.6	3	3	388.5	450.316
6.6	3	4	4.5	1012.08
6.6	4	0	360	886.355
6.6	4	1	94.5	620.687
6.6	4	2	302.5	1100.77
6.6	4	3	171	389.303
6.6	4	4	67	601.263
6.7	0	0	38.6153	531.712
6.7	0	1	0.5	923.454
6.7	0	2	296.5	639.531
6.7	0	3	9.5	1067.17
6.7	0	4	268.5	843.206
6.7	1	0	290	352.17
6.7	1	1	333.5	678.386
6.7	1	2	302	799.493
6.7	1	3	210.5	1008.06
6.7	1	4	228.5	866.587
6.7	2	0	26	845.367
6.7	2	1	89	367.861
6.7	2	2	8.5	1033.1
6.7	2	3	4.5	590.736
6.7	2	4	134.5	641.814
6.7	3	0	9.5	1152.87
6.7	3	1	6.5	778.886
6.7	3	2	35	974.249
6.7	3	3	388.5	450.316
6.7	3	4	4.5	1012.08
6.7	4	0	360	886.355
6.7	4	1	94.5	620.687
6.7	4	2	302.5	1100.77
6.7	4	3	171	389.303
6.7	4	4	67	601.263
6.8	0	0	38.6153	531.712
6.8	0	1	0.5	923.454
6.8	0	2	296.5	639.531
6.8	0	3	9.5	1067.17
6.8	0	4	268.5	843.206
6.8	1	0	290	352.17
6.8	1	1	333.5	678.386
6.8	1	2	302	799.493
6.8	1	3	210.5	1008.06
6.8	1	4	228.5	866.587
6.8	2	0	26	845.367
6.8	2	1	89	367.861
6.8	2	2	8.5	1033.1
6.8	2	3	4.5	590.736
6.8	2	4	134.5	641.814
6.8	3	0	9.5	1152.87
6.8	3	1	6.5	778.886
6.8	3	2	35	974.249
6.8	3	3	388.5	450.316
6.8	3	4	4.5	1012.08
6.8	4	0	360	886.355
6.8	4	1	94.5	620.687
6.8	4	2	302.5	1100.77
6.8	4	3	171	389.303
6.8	4	4	67	601.263
6.9	0	0	38.6153	531.712
6.9	0	1	0.5	923.454
6.9	0	2	296.5	639.531
6.9	0	3	9.5	1067.17
6.9	0	4	268.5	843.206
6.9	1	0	290	352.17
6.9	1	1	333.5	678.386
6.9	1	2	302	799.493
6.9	1	3	210.5	1008.06
6.9	1	4	228.5	866.587
6.9	2	0	26	845.367
6.9	2	1	89	367.861
6.9	2	2	8.5	1033.1
6.9	2	3	4.5	590.736
6.9	2	4	134.5	641.814
6.9	3	0	9.5	1152.87
6.9	3	1	6.5	778.886
6.9	3	2	35	974.249
6.9	3	3	388.5	450.316
6.9	3	4	4.5	1012.08
6.9	4	0	360	886.355
6.9	4	1	94.5	620.687
6.9	4	2	302.5	1100.77
6.9	4	3	171	389.303
6.9	4	4	67	601.263
7	0	0	38.6153	531.712
7	0	1	0.5	923.454
7	0	2	296.5	639.531
7	0	3	9.5	1067.17
7	0	4	268.5	843.206
7	1	0	290	352.17
7	1	1	333.5	678.386
7	1	2	302	799.493
7	1	3	210.5	1008.06
7	1	4	228.5	866.587
7	2	0	26	845.367
7	2	1	89	367.861
7	2	2	8.5	1033.1
7	2	3	4.5	590.736
7	2	4	134.5	641.814
7	3	0	9.5	1152.87
7	3	1	6.5	778.886
7	3	2	35	974.249
7	3	3	388.5	450.316
7	3	4	4.5	1012.08
7	4	0	360	886.355
7	4	1	94.5	620.687
7	4	2	302.5	1100.77
7	4	3	171	389.303
7	4	4	67	601.263
7.1	0	0	23.2039	550.504
7.1	0	1	0.5	996.893
7.1	0	2	246.5	678.306
7.1	0	3	9.5	1097.61
7.1	0	4	238.5	878.288
7.1	1	0	250	397.655
7.1	1	1	283.5	730.863
7.1	1	2	232	893.206
7.1	1	3	210.5	1008.06
7.1	1	4	207.843	875.013
7.1	2	0	6	911.371
7.1	2	1	69	401.561
7.1	2	2	8.5	1048.97
7.1	2	3	4.5	613.424
7.1	2	4	94.5	675.622
7.1	3	0	9.5	1191.36
7.1	3	1	6.5	817.624
7.1	3	2	5	1036.72
7.1	3	3	358.5	494.391
7.1	3	4	4.5	1012.08
7.1	4	0	300	946.766
7.1	4	1	54.5	633.501
7.1	4	2	262.5	1145.22
7.1	4	3	141	426.679
7.1	4	4	37	630.484
7.2	0	0	23.2039	550.504
7.2	0	1	0.5	996.893
7.2	0	2	246.5	678.306
7.2	0	3	9.5	1097.61
7.2	0	4	238.5	878.288
7.2	1	0	250	397.655
7.2	1	1	283.5	730.863
7.2	1	2	232	893.206
7.2	1	3	210.5	1008.06
7.2	1	4	207.843	875.013
7.2	2	0	6	911.371
7.2	2	1	69	401.561
7.2	2	2	8.5	1048.97
7.2	2	3	4.5	613.424
7.2	2	4	94.5	675.622
7.2	3	0	9.5	1191.36
7.2	3	1	6.5	817.624
7.2	3	2	5	1036.72
7.2	3	3	358.5	494.391
7.2	3	4	4.5	1012.08
7.2	4	0	300	946.766
7.2	4	1	54.5	633.501
7.2	4	2	262.5	1145.22
7.2	4	3	141	426.679
7.2	4	4	37	630.484
7.3	0	0	23.2039	550.504
7.3	0	1	0.5	996.893
7.3	0	2	246.5	678.306
7.3	0	3	9.5	1097.61
7.3	0	4	238.5	878.288
7.3	1	0	250	397.655
7.3	1	1	283.5	730.863
7.3	1	2	232	893.206
7.3	1	3	210.5	1008.06
7.3	1	4	207.843	875.013
7.3	2	0	6	911.371
7.3	2	1	69	401.561
7.3	2	2	8.5	1048.97
7.3	2	3	4.5	613.424
7.3	2	4	94.5	675.622
7.3	3	0	9.5	1191.36
7.3	3	1	6.5	817.624
7.3	3	2	5	1036.72
7.3	3	3	358.5	494.391
7.3	3	4	4.5	1012.08
7.3	4	0	300	946.766
7.3	4	1	54.5	633.501
7.3	4	2	262.5	1145.22
7.3	4	3	141	426.679
7.3	4	4	37	630.484
7.4	0	0	23.2039	550.504
7.4	0	1	0.5	996.893
7.4	0	2	246.5	678.306
7.4	0	3	9.5	1097.61
7.4	0	4	238.5	878.288
7.4	1	0	250	397.655
7.4	1	1	283.5	730.863
7.4	1	2	232	893.206
